Sector,Company,Data Version,Statement Type,Particulars,2025/26 (2082/83) Q3,2025/26 (2082/83) Q2,2025/26 (2082/83) Q1,2024/25 (2081/82) Q4,2024/25 (2081/82) Q3,2024/25 (2081/82) Q2,2024/25 (2081/82) Q1,2023/24 (2080/81) Q4,2023/24 (2080/81) Q3,2023/24 (2080/81) Q2,2023/24 (2080/81) Q1,2022/23 (2079/80) Q4,2022/23 (2079/80) Q3,2022/23 (2079/80) Q2,2022/23 (2079/80) Q1,2021/22 (2078/79) Q4,2021/22 (2078/79) Q3,2021/22 (2078/79) Q2,2021/22 (2078/79) Q1,2020/21 (2077/78) Q4,2020/21 (2077/78) Q3,2020/21 (2077/78) Q2,2020/21 (2077/78) Q1,2019/20 (2076/77) Q4,2019/20 (2076/77) Q3,2019/20 (2076/77) Q2,2019/20 (2076/77) Q1,2018/19 (2075/76) Q4,2018/19 (2075/76) Q3,2018/19 (2075/76) Q2,2018/19 (2075/76) Q1,2017/18 (2074/75) Q4,2017/18 (2074/75) Q3,2017/18 (2074/75) Q2,2017/18 (2074/75) Q1,2016/17 (2073/74) Q4,2016/17 (2073/74) Q3,2016/17 (2073/74) Q2,2016/17 (2073/74) Q1,2015/16 (2072/73) Q4,2015/16 (2072/73) Q3,2015/16 (2072/73) Q2,2015/16 (2072/73) Q1,2014/15 (2071/72) Q4,2014/15 (2071/72) Q3,2014/15 (2071/72) Q2,2014/15 (2071/72) Q1,2013/14 (2070/71) Q4,2013/14 (2070/71) Q3,2013/14 (2070/71) Q2,2013/14 (2070/71) Q1,2012/13 (2069/70) Q4,2012/13 (2069/70) Q3,2012/13 (2069/70) Q2,2012/13 (2069/70) Q1,2011/12 (2068/69) Q4,2011/12 (2068/69) Q3,2011/12 (2068/69) Q2,2011/12 (2068/69) Q1,2010/11 (2067/68) Q4,2010/11 (2067/68) Q3,2010/11 (2067/68) Q2,2010/11 (2067/68) Q1
Hydro Power,CHCL,PUBLISHED,IS,Depreciation,,37815.24,14000,87694.86,55282.58,33160.37,18319,70344.29,55640.71,34500.67,17136.23,79405.16,52195.76,34849.41,17399.4,70973.86,53819.31,35998.12,17054.02,66982.07,46101.44,33020.38,16501,66212,54588,31834,16826,66395.61,52696.74,35131,17566,68375,51262.35,38553.63,17479.79,70033,57315,39895,27242,105043,66654,53896,26548,105060.9,77500,52500,26250,109169,78750,52500,26250,107088.26,80080.92,53387.27,26693.63,106567.56,79267.59,52845.05,26413,106217.66,78549.06,52177.56,35000
Hydro Power,CHCL,PUBLISHED,IS,Gross Provisions,,4020.8,2079.21,6864.64,5130.27,3867.53,2118,6529.78,4709.3,3791.42,2087.57,6945.09,5289.83,3938.74,2078.8,7678.87,5220.24,4012.31,2098.69,7018.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,IS,Profit Before Taxes,,474782.51,265239.8,871535.31,651059.61,493422.75,256414,868647.861,603630.37,484843.99,266205.45,930450.53,680385.11,504527.69,265459.55,990655.83,668658.31,513376.94,267641.56,918599.35,664345.85,503706.28,287083,967317,677596,510427,278118,969607.64,675636.23,538717,310919,975876,684102.26,541748.38,316959.82,996749,706281,563549,307969,949297,716635,566711,317809,865411.73,686538,533227,296574,938666.31,716708,568319,314899,963753.68,690127.81,539473.14,308780.25,932689.5,658763.82,498232.11,287014.82,845014.16,574558.63,439788.36,233446.8
Hydro Power,CHCL,PUBLISHED,IS,Over Prior Period_Profit Before Taxes,,0.790012321,-0.695663736,0.338641342,0.319476271,0.92432063,-0.704812489,0.439039359,0.24499918,0.821315041,-0.713896181,0.367535116,0.34855851,0.900582179,-0.732036554,0.481557643,0.302470481,0.918151052,-0.708641684,0.382712559,0.318915162,0.754566728,-0.703217249,0.427571886,0.327508145,0.835289338,-0.713164389,0.435103088,0.25415799,0.732660275,-0.681394972,0.426506031,0.262767523,0.709202069,-0.682006383,0.411264072,0.253273451,0.829888723,-0.675582036,0.324658997,0.264551067,0.783181093,-0.632765551,0.260544544,0.287515448,0.797955991,-0.684047465,0.309691408,0.2611016,0.804765973,-0.673257798,0.39648579,0.279262597,0.747110251,-0.668935643,0.415817736,0.322202658,0.735910745,-0.660343183,0.470718767,0.306443467,0.883891148,
Hydro Power,CHCL,PUBLISHED,IS,Period on Period_Profit Before Taxes,,-0.037777423,0.034420117,0.003324073,0.078573316,0.017693857,-0.036781553,-0.066422305,-0.112810729,-0.039014112,0.002809844,-0.060773175,0.017537806,-0.017237334,-0.008152732,0.078441684,0.006491288,0.019199006,-0.067720624,-0.050363686,-0.019554646,-0.013166858,0.032234519,-0.00236244,0.002900629,-0.052513657,-0.10549693,-0.006423316,-0.012375387,-0.00559555,-0.01905863,-0.020941079,-0.031402147,-0.038684515,0.029193912,0.049986464,-0.01444808,-0.005579563,-0.030961993,0.096931053,0.043838797,0.06279502,0.071601017,-0.078041131,-0.042095247,-0.061747012,-0.058193262,-0.026030894,0.03851488,0.053470429,0.019815872,0.033306025,0.047610371,0.082774733,0.075833819,0.10375606,0.146556305,0.132890625,0.229465643,,,,
Hydro Power,CHCL,PUBLISHED,IS,Taxes,,67147.07,54051.61,174367.55,130039.16,100591.75,41518,205039.49,125481.8,99912.63,54275.19,224506.1,143247.03,104622.85,54412.01,210872.76,138640.88,106013.83,54581.87,205633.9,135888.24,101384.65,58174,196926,138663,103779,55634,234809.76,118718.66,75000,36925,17948,12170.91,6429.42,1601.44,10891,6831,4315,593,19311,11957,4994,0,0,0,0,0,-1009.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,IS,Bonuses,,9576.07,5346.38,17568,13123.8,9945.81,5171,17160.35,11928.23,9581.09,5260.65,18380.31,13444.61,9969.93,5245.85,19575.19,13213.3,10144.89,5289.02,18149.37,13026.39,9876.59,5629,18900,13286,10008,5453,19011.91,13247.77,10563,6096,19135,13413.77,10622.52,6214.9,19544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro Power,CHCL,PUBLISHED,IS,Net Profit,,398059.37,205841.81,679599.76,507896.65,382885.19,209725,646448.021,466220.34,375350.27,206669.61,687564.12,523693.47,389934.91,205801.69,760207.88,516804.13,397218.22,207770.67,694816.08,515431.22,392445.04,223280,751491,525647,396640,217031,715785.97,543669.8,453154,267898,938793,658517.58,524696.44,309143.48,966314,699450,559234,307376,929986,704678,561717,317809,865411.73,686538,533227,296574,939675.89,716708,568319,314899,963753.68,690127.81,539473.14,308780.25,932689.5,658763.82,498232.11,287014.82,845014.16,574558.63,439788.36,233446.8
Hydro Power,CHCL,PUBLISHED,IS,Over Prior Period_Net Profit,,0.933812038,-0.69711318,0.338067026,0.326498552,0.825653546,-0.675573297,0.386571896,0.242094058,0.816185118,-0.699417692,0.312913296,0.343027917,0.894711895,-0.729282351,0.470978725,0.301058471,0.911810844,-0.700970263,0.348028705,0.313384468,0.757636331,-0.702884,0.429649556,0.325249597,0.82757302,-0.696793442,0.316582179,0.199746223,0.691516921,-0.714635708,0.425615699,0.255044879,0.697258632,-0.680079684,0.381534062,0.250728675,0.819380823,-0.669483197,0.319731849,0.254507163,0.767467252,-0.632765551,0.260544544,0.287515448,0.797955991,-0.684386922,0.311100044,0.2611016,0.804765973,-0.673257798,0.39648579,0.279262597,0.747110251,-0.668935643,0.415817736,0.322202658,0.735910745,-0.660343183,0.470718767,0.306443467,0.883891148,
Hydro Power,CHCL,PUBLISHED,IS,Period on Period_Net Profit,,0.039631149,-0.018515628,0.051282915,0.089391874,0.020074369,0.014783935,-0.059799658,-0.109745745,-0.037402755,0.004217264,-0.095557757,0.01333066,-0.01833579,-0.009476699,0.094113826,0.002663614,0.012162671,-0.069461349,-0.075416632,-0.019434678,-0.01057624,0.028793122,0.049882271,-0.033150269,-0.12471257,-0.189874504,-0.237546541,-0.174403514,-0.136350153,-0.133418567,-0.02848039,-0.058520866,-0.061758691,0.005750221,0.039062954,-0.007418991,-0.004420375,-0.032827893,0.074616819,0.026422427,0.053429402,0.071601017,-0.079031675,-0.042095247,-0.061747012,-0.058193262,-0.024983344,0.03851488,0.053470429,0.019815872,0.033306025,0.047610371,0.082774733,0.075833819,0.10375606,0.146556305,0.132890625,0.229465643,,,,
