Company,Fiscal Year,Quarter,Period,"Advances, Payments, Loans and Deposits",Application of Funds,Cash at Hand,Deferred Liabilities,Inventory,Investments,Long Term Liabilities,Net Fixed Assets,Paid up Capital,Receivables,Reserves,Share Premium,Short Term Liabilities,Total Current Assets,Total Short Term Liabilities,Total Sources of Funds,Administrative Expenses,Bonuses,Cost of Production,Depreciation,Forex Gain,Gross Profit,Income from Dividend,Income from Other Sources,Income from Sale of Energy,Net Interest Income,Net Profit,Operating Profit,Profit Before Taxes,Taxes,Book Value per Share,Dividend Per Share (Rs.),EPS (Anualized),Gross Profit (Rs. 000),Market Value Per Share,Net Income (Rs. 000),Reported PE (Annualized),Return on Asset (TTM) %,Return on Equity (TTM) %,Total Revenue (Rs. 000),Current Ratio,Equity,Debt to Equity,Asset Intensity,Investment Ratio,Gross Margin,Net Margin,Operating Margin,Effective Tax Rate,OpEx Ratio,Depreciation Rate,ROA_manual,ROE_manual,QoQ_Income_from_Sale_of_Energy,QoQ_Net_Profit,QoQ_Gross_Profit,QoQ_Operating_Profit,QoQ_Total_Sources_of_Funds,QoQ_Total_Current_Assets,YoY_Revenue
RADHI,2019/20,Q3,2019/20 (2076/77) Q3,3435.8795,895171.9796,17176.6722,2400.2786,2474.5271,374004.5412,254239.1566,504380.2445,473556.5,74015.7695,167376.323,0.0,77915.3758,97102.8483,80315.6544,895171.9796,11363.7613,0.0,12611.5763,14802.4293,0.0,108989.8547,0.0,388.7189,121601.4311,-24984.0157,57446.2297,98014.8123,58228.3674,782.1377,135.3445,0.0,16.1744,108989.8547,175.0,57446.2297,10.8196,0.0742,0.1075,121601.4311,1.246260411414184,640932.823,0.3966705206483076,0.5634450764705319,0.4178018858087139,0.896287598871845,0.47241409233710513,0.8060333781713133,0.01343224505380837,0.09345088455953136,0.029347757889831412,0.0641734002059239,0.08962909627737993,0.39519165727613914,0.3207715424205726,0.3710013148937792,0.37155025780821327,0.0061648293238170115,0.07711740861432692,0.06130491915796066
RADHI,2019/20,Q4,2019/20 (2076/77) Q4,6289.4885,901994.448,18868.9516,1508.8675,2656.6441,374903.0867,244147.0344,499614.5764,473556.5,76392.2483,184290.9336,0.0,75221.68,104207.3324,76730.5475,901994.468,15858.4704,0.0,17486.8338,19746.4753,0.0,142348.6763,0.0,1437.9099,159835.51,-32750.626,74043.0787,127928.1157,75431.0145,1387.9359,138.9164,36.5,15.6355,142348.6763,0.0,74043.0787,11.4483,0.0836,0.119,159835.51,1.3853364136509396,657847.4336,0.3711301768921268,0.5538998232525739,0.4156379002315561,0.8905948140059684,0.46324548718867,0.800373557165108,0.018400069377298132,0.09921744173118915,0.03952341711541777,0.08208817384897743,0.11255357233030008,0.3144212905566701,0.28891102317198714,0.306072722932073,0.3051916613219896,0.007621427564174388,0.07316452837769138,0.09604409151019189
RADHI,2020/21,Q1,2020/21 (2077/78) Q1,6107.3916,917286.5801,17300.3232,596.7375,1626.915,375794.8293,234684.6227,494696.3178,473556.5,84975.1933,209045.4574,0.0,62617.6525,110009.8229,63214.3899,917286.5801,3743.8047,0.0,4362.2329,4918.2586,0.0,40873.7229,0.0,532.0735,45235.9557,-6712.537,25707.9231,37661.9917,26031.1961,323.273,144.1437,0.0,21.7148,40873.7229,273.0,25707.9231,12.5721,0.0837,0.1167,45235.9557,1.7568500016828044,682601.9574,0.34380889207218623,0.5393039956455801,0.4096809409977757,0.9035671352025642,0.5683072834912922,0.8325676139080481,0.012418676374228827,0.08276170232432865,0.009941975355451068,0.028026053861157942,0.03766166038831807,-0.7169843190665204,-0.6527977556935378,-0.712861938990858,-0.7056003561537645,0.01695366506394147,0.05568217097936201,-0.03510151445483378
RADHI,2020/21,Q2,2020/21 (2077/78) Q2,8463.5063,929892.4165,24634.9455,2464.6712,1574.5198,375522.7039,225561.2987,489651.4229,473556.5,82945.115,230774.6178,0.0,50435.1257,117618.0866,52899.7969,929892.4165,7236.3804,0.0,8043.8991,9888.464,0.0,77103.4326,0.0,1807.0469,85147.3317,-12398.4293,48620.374,71674.0991,49387.2058,766.8318,148.7322,0.0,20.5341,77103.4326,291.0,48620.374,14.1715,0.0873,0.1195,85147.3317,2.332066887264597,704331.1178,0.3202489468370322,0.5265678203323636,0.40383456971659215,0.9055296397502859,0.5710146522418792,0.8417656510074663,0.015526932280910384,0.084986578622286,0.020194905064167393,0.0522860205517118,0.06903056356769692,0.8822931975769,0.891260286211141,0.8863814482629375,0.9030883887109988,0.013742527878938038,0.0691598577239414,-0.023063743966380668
RADHI,2020/21,Q3,2020/21 (2077/78) Q3,8674.1663,934725.2779,37969.7106,2755.4084,1568.0314,376664.5162,215608.4503,484891.6995,473556.5,81579.327,245560.3276,0.0,53866.7647,129791.2353,56622.1731,934725.2779,10333.0452,0.0,11712.2099,14832.696,0.0,103020.4516,0.0,2547.0051,114732.6614,-16683.4559,62624.5335,95234.4115,63718.2596,1093.7261,151.8545,0.0,17.6324,103020.4516,492.0,62624.5335,27.9032,0.0865,0.1163,114732.6614,2.4094863692453687,719116.8276,0.29982395352863206,0.5187531684062092,0.4029681502208143,0.8979173876288997,0.5458300429523502,0.8300549323786467,0.017165034118414354,0.0900619324428912,0.030589709032542368,0.06699779601627474,0.08708534009557908,0.3474604442595821,0.28803068236373486,0.3361331412370867,0.32871445467530114,0.0051972263825854625,0.10349725158681511,-0.056485928149574205
RADHI,2020/21,Q4,2020/21 (2077/78) Q4,14013.4416,922000.0,40917.5552,1492.6498,6537.4425,406116.0386,205000.0,480093.3901,646000.0,75987.4068,70493.5197,0.0,100234.5264,137455.846,101727.1762,922000.0,13982.6613,0.0,16522.2614,19654.9915,0.0,113205.0967,0.0,4617.0568,129727.3581,-20866.4671,61453.201,103839.4922,63318.0336,1864.8326,110.9055,0.0,9.5069,113205.0967,0.0,61453.201,78.4691,0.0667,0.0883,129727.3581,1.3713423002714822,717000.0,0.28591352859135244,0.5207086660520601,0.44047292689804723,0.872638573374286,0.4737104177565112,0.8004440522095176,0.02945184008367516,0.10778498463848615,0.040939933573978106,0.06665206182212574,0.08570878800557867,0.13069248561857205,-0.018704051504032315,0.09886041986637917,0.09035684228489194,-0.013613922936361766,0.05905337661887544,-0.1883696051021454
RADHI,2021/22,Q1,2021/22 (2078/79) Q1,10982.1645,927170.8764,23682.5359,1858.0596,6642.1567,407638.0602,192571.7401,475192.2452,646404.623,93885.2493,88194.5133,0.0,88993.4759,135192.1065,90851.5354,927170.8764,7172.1707,0.0,5564.1236,4901.1449,0.0,35534.9109,0.0,720.4285,41099.0344,-4161.0779,17359.578,29083.1687,20020.9458,2661.3678,113.6439,0.0,10.7422,35534.9109,565.0,17359.578,52.5961,0.0573,0.0746,41099.0344,1.519123791185669,734599.1362999999,0.2621453396609442,0.5125185198278296,0.4396579644334475,0.8646166854956364,0.42238408404066013,0.7076363015477389,0.13292917460472156,0.17450946974072526,0.010314025427618636,0.018723170066992822,0.02363136184373428,-0.6831891514485409,-0.7175154797876192,-0.6861014924604538,-0.7199218901804298,0.005608325813448944,-0.016468848476622777,-0.09145205922995459
RADHI,2021/22,Q2,2021/22 (2078/79) Q2,9424.49,929395.8049,47620.8236,2020.9239,7508.2177,408390.6041,179988.0675,470287.7057,646404.623,88307.4295,103003.1144,0.0,100122.5417,152860.9607,102143.4657,929395.8049,10927.4246,0.0,13241.8173,9805.6844,0.0,64494.2021,0.0,2074.4616,77736.0193,-8807.6837,32003.1499,55641.2391,37027.871,5024.7212,115.9348,0.0,9.9019,64494.2021,709.0,32003.1499,71.6025,0.0483,0.0619,77736.0193,1.5267387154235463,749407.7374,0.2401737512404816,0.5060144485487547,0.4394151576183853,0.8296566081046958,0.41169010438381926,0.7157716538747345,0.13570105610446426,0.1405709309326553,0.02085039494154903,0.034434360184618436,0.042704589641724126,0.891431768041733,0.8435442324692455,0.8149532520707685,0.9131766443317437,0.0023996962767411922,0.13069442186700453,-0.08704104112284228
RADHI,2021/22,Q3,2021/22 (2078/79) Q3,10825.3819,931081.3676,49144.496,906.4653,7370.8986,407637.0257,167112.4327,465384.8636,646404.623,86145.7013,117564.3119,0.0,94520.534,153486.4777,95426.9993,931081.3676,14668.6708,0.0,17410.4223,14708.5266,0.0,91956.4223,0.0,3987.2663,109366.8446,-11884.7111,47107.8192,81275.0178,54681.7802,7573.961,118.1874,0.0,9.7169,91956.4223,542.3,47107.8192,55.81,0.0495,0.0623,109366.8446,1.6238426848074976,763968.9349,0.2187424449684908,0.4998326459905409,0.4378103137760605,0.8408071261114098,0.4307321782235964,0.7431412883607986,0.13850977368143297,0.13412356234331613,0.031605081622598716,0.05059473944949336,0.061661956459219285,0.4069005023003538,0.47197445711429786,0.4258091317637993,0.4606974811242117,0.0018136112634825619,0.004092065084083885,-0.046767997312402665
RADHI,2021/22,Q4,2021/22 (2078/79) Q4,9941.4679,938486.4063,46855.4177,1274.9426,14675.0618,424226.5733,158429.747,460522.2536,646404.623,85538.7241,133652.0363,0.0,101998.1495,157010.6715,103273.0921,938486.4063,20191.0873,0.0,22413.1347,19633.2837,0.0,112551.6601,0.0,4357.9231,134964.7948,-17734.8993,50946.3471,96718.4958,59350.3128,8403.9658,120.6762,5.0,7.8815,112551.6601,0.0,50946.3471,68.3246,0.0548,0.068,134964.7948,1.5393482359206767,780056.6593,0.20310030702406925,0.4907074311450253,0.4520327310573635,0.8339334732941717,0.3774787875274836,0.7166201819024237,0.1415993514359348,0.14960262289080922,0.04263264922926616,0.05428565268287354,0.06531108540976714,0.23405585388901318,0.08148388028117415,0.2239673672036715,0.19001506758205844,0.007953159581624458,0.022960939965592786,0.04037264596079071
